name,alias,details
join_key,Geographic Identifier,muni_id
title,Title,Educational Attainment Overall and by Gender
alt_title,Alternate Title,Educational Attainment by Gender
tbl_table,Table Name,b15002_educational_attainment_acs_m
tbl_num,Table number from source data,b15002
geography,Spatial Geography,Municipalities
descriptn,Description,Educational attainment by gender for population 25 years and over
datesavail,Dates Available,5yr Avg 2005-09 through 2012-16
coverage,Coverage,Statewide
universe,Universe,Population 25 years and over
creator,Creator/Source,US Census: American Community Survey
publisher,Publisher,MAPC
contributr,Contributors,null
createdate,CreationDate,null
moddate,ModificationDate,2017-10
muni_id,Municipal ID,null
municipal,Municipality,null
geoid,Census Geographic Level ID,null
logrecno,Census Logical Record Number,null
acs_year,ACS Years,null
nohs,No High School,Includes male and female groupings for: no schooling completed; Nursery to 4th grade; 5th and 6th grade; 7th and 8th grade
nohs_me,No High School; Margin of Error,
lths,Less than High School Graduate,Includes male and female groupings for: no schooling completed; Nursery to 4th grade; 5th and 6th grade; 7th and 8th grade;9th grade;10th grade;11th grade;12th grade no diploma
lths_me,Less than High School Graduate; Margin of Error,
hs,High School Graduate,Includes male and female groupings for: High school graduate; GED or alternative
hs_me,High School Graduate; Margin of Error,
sc,Some College,Includes male and female groupings for: Some college less than 1 year; Some college 1 or more years but no degree
sc_me,Some College; Margin of Error,
assoc,Associate Degree,Includes male and female groupings for: Associates degree
assocme,Associate Degree; Margin of Error,
asba,Associate or Bachelor Degree,Includes male and female groupings for: Associates degree; Bachelors degree
asba_me,Associate or Bachelor Degree; Margin of Error,
aspl,Associate Degree or higher,Includes male and female groupings for: Associates degree; Bachelors degree; Masters degree; Professional school degree; Doctorate degree
aspl_me,Associate Degree or higher; Margin of Error,
ba,Bachelor Degree,Includes male and female groupings for:  Bachelors degree
ba_me,Bachelor Degree; Margin of Error,
bapl,Bachelor Degree or higher,Includes male and female groupings for: Bachelors degree; Masters degree; Professional school degree; Doctorate degree
bapl_me,Bachelor Degree or higher; Margin of Error,
