Agent Name,Agent Address,Agent City,FY 17 Net Sales
TERRA NOSSA CENTER MARKET,1501 BEDFORD ST,ABINGTON,"$45,072.00"
ABINGTON SUNOCO,907 BEDFORD ST,ABINGTON,"$59,589.50"
MICHAEL'S CONVENIENCE,194 NORTH AVE,ABINGTON,"$78,417.00"
TIKI GARDEN INC,201 N QUINCY ST,ABINGTON,"$89,808.00"
MARTIN'S RESTAURANT,205 NORTH AVENUE,ABINGTON,"$111,218.00"
MARYLOU'S NEWS,562 WASHINGTON ST,ABINGTON,"$111,890.75"
SMOKE & ASHES TOBACCO CO,308 BROCKTON AVE,ABINGTON,"$121,977.50"
GREAT CHOW 18,497 BEDFORD STREET,ABINGTON,"$134,472.00"
KNIGHTS OF COLUMBUS,254 HANCOCK ST,ABINGTON,"$142,141.00"
MARYLOU'S NEWS,1501 BEDFORD ST,ABINGTON,"$182,388.00"
ROSIE'S LIQUOR & DELI,751 BEDFORD ST,ABINGTON,"$250,374.75"
POLISH CLUB,55 WALES ST,ABINGTON,"$262,857.50"
SQUIRE'S LOFT,460 BEDFORD ST,ABINGTON,"$263,090.50"
ABINGTON LIQUORS,585 WASHINGTON STREET,ABINGTON,"$269,099.25"
ABINGTON DEPOT,101 RAILROAD ST,ABINGTON,"$270,825.50"
LYNCH'S TAVERN,236 NORTH AVE,ABINGTON,"$298,010.00"
BILLY'S LIQUORS,760 BROCKTON AVE,ABINGTON,"$315,536.00"
CENTER AVE SUNOCO,336 CENTRE AVE,ABINGTON,"$315,687.75"
D'ANN'S REST,340 CENTRE AVE,ABINGTON,"$376,887.75"
STIX & STONES,800 BROCKTON AVENUE,ABINGTON,"$381,571.75"
MIA REGAZZA,268 WASHINGTON ST,ABINGTON,"$384,468.75"
ALLTOWN #2727,906 BEDFORD ST,ABINGTON,"$414,868.75"
CELLAR TAVERN,221 NORTH ST,ABINGTON,"$484,316.00"
OMOTO GARDEN,1501 BEDFORD ST,ABINGTON,"$488,088.00"
BEMIS DRUG CO INC,6 BRIGHTON ST,ABINGTON,"$494,902.00"
STOP N GAS,164 NORTH AVE,ABINGTON,"$631,881.50"
JP RYAN'S TAVERN,246 BROCKTON AVE,ABINGTON,"$728,965.00"
TEDESCHI  #394,145 N QUINCY ST,ABINGTON,"$743,620.75"
ABINGTON ALE HOUSE,1235 BEDFORD ST,ABINGTON,"$850,455.75"
TRUCCHI'S MARKET #4,858 BEDFORD ST,ABINGTON,"$868,509.50"
CENTRE AVENUE SUNOCO,336 CENTRE AVENUE,ABINGTON,"$902,546.25"
STOP & SHOP #054,375 CENTRE ST,ABINGTON,"$1,043,386.00"
D'ANN'S SPORTS & ENTERTAINMENT,340 CENTRE AVENUE,ABINGTON,"$1,144,845.50"
ABINGTON COUNTRY STORE,852 HANCOCK STREET,ABINGTON,"$1,310,424.50"
7-ELEVEN 37490,145 N QUINCY ST,ABINGTON,"$1,339,809.00"
BRENNAN'S NEWS,224 CENTRE AVE,ABINGTON,"$1,369,681.75"
J D  VARIETY,201 N QUINCY ST,ABINGTON,"$1,468,332.50"
QUICK STOP,115 BROCKTON AVE,ABINGTON,"$1,666,836.25"
7-ELEVEN 32437 E,2 BROCKTON AVE,ABINGTON,"$1,690,894.75"
7-ELEVEN 37406,945 BEDFORD ST,ABINGTON,"$1,864,933.75"
SMARTSTOP CONVENIENCE,270 NORTH AVE,ABINGTON,"$1,962,998.75"
YOURS CONVENIENCE STORE,800 BROCKTON AVE,ABINGTON,"$1,977,064.25"
ROUTE 18 SUPERSTORE,336 WASHINGTON STREET,ABINGTON,"$2,614,417.00"
KMART 7104,252 MAIN ST,ACTON,"$24,946.50"
RITE AID 10097,100 POWDER MILL RD,ACTON,"$32,107.00"
COLONIAL SPIRITS,87 GREAT ROAD,ACTON,"$46,953.25"
ACTON LIQUORS,100 POWDER MILL ROAD,ACTON,"$54,708.25"
RED WHITE AND BREW WINE,578 MASS AVE,ACTON,"$87,091.75"
ACTON LIQUORS,100 POWDERMILL RD,ACTON,"$123,514.50"
LIQUOR OUTLET INC,305 MAIN STREET,ACTON,"$176,436.75"
DONELANS OF ACTON,248 GREAT ROAD,ACTON,"$215,192.50"
PRO TECH GAS,332 GREAT ROAD,ACTON,"$235,999.25"
ROCHE BROS #112,387 MASS AVE,ACTON,"$249,200.50"
MAKAHA RESTAURANT,255 GREAT RD,ACTON,"$441,727.50"
