Agent Name,Agent Address,Agent City,FY 20 Net Sales
POLISH CLUB,55 WALES ST,ABINGTON,"$6,469.00"
STIX & STONES,800 BROCKTON AVENUE,ABINGTON,"$20,300.00"
MATCHES DISCOUNT SMOKE SHOP,308 BROCKTON AVE,ABINGTON,"$23,921.50"
TIKI GARDEN INC,201 N QUINCY ST,ABINGTON,"$29,177.75"
ABINGTON SUNOCO,907 BEDFORD ST,ABINGTON,"$48,481.75"
KNIGHTS OF COLUMBUS,254 HANCOCK ST,ABINGTON,"$52,160.50"
TERRA NOSSA CENTER MARKET,1501 BEDFORD ST,ABINGTON,"$81,582.00"
MARYLOU'S NEWS,1501 BEDFORD ST,ABINGTON,"$125,822.50"
WEBSTERS TIMBER LANE,460 BEDFORD ST,ABINGTON,"$170,191.50"
GIARDINO'S RESTAURANT,497 BEDFORD ST,ABINGTON,"$185,198.75"
OMOTO GARDEN,1501 BEDFORD ST,ABINGTON,"$225,328.75"
ABINGTON DEPOT,101 RAILROAD ST,ABINGTON,"$277,024.00"
BEMIS DRUG CO INC,6 BRIGHTON ST,ABINGTON,"$286,356.00"
STOP N GAS,164 NORTH AVE,ABINGTON,"$303,780.00"
ABINGTON ALE HOUSE,1235 BEDFORD ST,ABINGTON,"$409,520.00"
ABINGTON STOP N GAS,164 NORTH AVE,ABINGTON,"$422,662.50"
ROSIE'S LIQUOR & DELI,751 BEDFORD ST,ABINGTON,"$437,026.75"
MIA REGAZZA,268 WASHINGTON ST,ABINGTON,"$439,207.00"
ALLTOWN #2727,906 BEDFORD ST,ABINGTON,"$503,300.25"
ABINGTON LIQUORS,585 WASHINGTON STREET,ABINGTON,"$527,288.00"
LYNCH'S TAVERN,236 NORTH AVE,ABINGTON,"$591,207.50"
CELLAR TAVERN,221 NORTH ST,ABINGTON,"$620,818.00"
JP RYAN'S TAVERN,246 BROCKTON AVE,ABINGTON,"$658,275.50"
BILLY'S LIQUORS,760 BROCKTON AVE,ABINGTON,"$749,799.75"
TRUCCHI'S MARKET #4,858 BEDFORD ST,ABINGTON,"$1,032,504.50"
ABINGTON COUNTRY STORE,852 HANCOCK STREET,ABINGTON,"$1,126,438.00"
STOP & SHOP #054,375 CENTRE ST,ABINGTON,"$1,203,457.00"
CENTRE AVENUE SUNOCO,336 CENTRE AVENUE,ABINGTON,"$1,295,783.50"
D'ANN'S SPORTS & ENTERTAINMENT,340 CENTRE AVENUE,ABINGTON,"$1,524,126.75"
BRENNAN'S NEWS,224 CENTRE AVE,ABINGTON,"$1,840,216.50"
QUICK STOP,115 BROCKTON AVE,ABINGTON,"$1,968,502.25"
7-ELEVEN 32437 E,2 BROCKTON AVE,ABINGTON,"$2,134,152.75"
7-ELEVEN 37406,945 BEDFORD ST,ABINGTON,"$2,376,852.25"
7-ELEVEN 37490,145 N QUINCY ST,ABINGTON,"$2,408,360.75"
SMARTSTOP CONVENIENCE,270 NORTH AVE,ABINGTON,"$2,502,187.75"
YOURS CONVENIENCE STORE,800 BROCKTON AVE,ABINGTON,"$2,571,506.50"
J D  VARIETY,201 N QUINCY ST,ABINGTON,"$2,754,354.00"
ROUTE 18 SUPERSTORE,336 WASHINGTON STREET,ABINGTON,"$4,032,524.50"
COLONIAL SPIRITS,87 GREAT ROAD,ACTON,"$55,399.25"
BEIJING TOKYO,103 NAGOG PARK,ACTON,"$84,824.00"
ACTON CONVENIENCE,465 GREAT ROAD,ACTON,"$103,306.00"
THE HOLY GRAIL,166 GREAT ROAD,ACTON,"$149,944.00"
ACTON WINE & SPIRIT,305 MAIN ST,ACTON,"$161,910.50"
DONELANS OF ACTON,248 GREAT ROAD,ACTON,"$217,534.50"
RED WHITE AND BREW WINE,578 MASS AVE,ACTON,"$239,711.25"
STOP & SHOP #460,100 POWDER MILL RD,ACTON,"$283,340.75"
GLOBAL MONTELLO #2769,44 GREAT RD,ACTON,"$317,104.50"
ROCHE BROS #112,387 MASS AVE,ACTON,"$322,361.00"
ACTON GULF,289 MAIN ST,ACTON,"$366,305.25"
7-ELEVEN 37454,75 GREAT RD,ACTON,"$401,856.00"
PRO TECH GAS,332 GREAT ROAD,ACTON,"$458,585.25"
ACTON LIQUORS,100 POWDER MILL ROAD,ACTON,"$459,233.75"
EAST ACTON MOBIL,44 GREAT RD,ACTON,"$619,937.75"
